solid_SIDIS_hgc_chamber  |                root  |       solid_SIDIS_hgc_chamber  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | CCCC33   |            Polycone  |0*deg 360*deg 2*counts 85.5*cm 89*cm 260*cm 260*cm 326*cm 426*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
 solid_SIDIS_hgc_gas  |solid_SIDIS_hgc_chamber  |           solid_SIDIS_hgc_gas  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | CCCC33   |            Polycone  |0*deg 360*deg 2*counts 86*cm 89.5*cm 259.5*cm 259.5*cm 326.056*cm 425.9*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_block_1  | solid_SIDIS_hgc_gas  |       solid_SIDIS_hgc_block_1  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 22CC33   |            Polycone  |102*deg 0.000005*deg 2*counts 86*cm 89.5*cm 259.5*cm 259.5*cm 326.056*cm 425.9*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_block_2  | solid_SIDIS_hgc_gas  |       solid_SIDIS_hgc_block_2  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 22CC33   |            Polycone  |114*deg 0.000005*deg 2*counts 86*cm 89.5*cm 259.5*cm 259.5*cm 326.056*cm 425.9*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_block_3  | solid_SIDIS_hgc_gas  |       solid_SIDIS_hgc_block_3  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 22CC33   |            Polycone  |126*deg 0.000005*deg 2*counts 86*cm 89.5*cm 259.5*cm 259.5*cm 326.056*cm 425.9*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_block_4  | solid_SIDIS_hgc_gas  |       solid_SIDIS_hgc_block_4  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 22CC33   |            Polycone  |138*deg 0.000005*deg 2*counts 86*cm 89.5*cm 259.5*cm 259.5*cm 326.056*cm 425.9*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_block_5  | solid_SIDIS_hgc_gas  |       solid_SIDIS_hgc_block_5  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 22CC33   |            Polycone  |150*deg 0.000005*deg 2*counts 86*cm 89.5*cm 259.5*cm 259.5*cm 326.056*cm 425.9*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_block_6  | solid_SIDIS_hgc_gas  |       solid_SIDIS_hgc_block_6  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 22CC33   |            Polycone  |162*deg 0.000005*deg 2*counts 86*cm 89.5*cm 259.5*cm 259.5*cm 326.056*cm 425.9*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_block_7  | solid_SIDIS_hgc_gas  |       solid_SIDIS_hgc_block_7  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 22CC33   |            Polycone  |174*deg 0.000005*deg 2*counts 86*cm 89.5*cm 259.5*cm 259.5*cm 326.056*cm 425.9*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_block_8  | solid_SIDIS_hgc_gas  |       solid_SIDIS_hgc_block_8  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 22CC33   |            Polycone  |186*deg 0.000005*deg 2*counts 86*cm 89.5*cm 259.5*cm 259.5*cm 326.056*cm 425.9*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_block_9  | solid_SIDIS_hgc_gas  |       solid_SIDIS_hgc_block_9  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 22CC33   |            Polycone  |198*deg 0.000005*deg 2*counts 86*cm 89.5*cm 259.5*cm 259.5*cm 326.056*cm 425.9*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_block_10  | solid_SIDIS_hgc_gas  |      solid_SIDIS_hgc_block_10  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 22CC33   |            Polycone  |210*deg 0.000005*deg 2*counts 86*cm 89.5*cm 259.5*cm 259.5*cm 326.056*cm 425.9*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_block_11  | solid_SIDIS_hgc_gas  |      solid_SIDIS_hgc_block_11  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 22CC33   |            Polycone  |222*deg 0.000005*deg 2*counts 86*cm 89.5*cm 259.5*cm 259.5*cm 326.056*cm 425.9*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_block_12  | solid_SIDIS_hgc_gas  |      solid_SIDIS_hgc_block_12  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 22CC33   |            Polycone  |234*deg 0.000005*deg 2*counts 86*cm 89.5*cm 259.5*cm 259.5*cm 326.056*cm 425.9*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_block_13  | solid_SIDIS_hgc_gas  |      solid_SIDIS_hgc_block_13  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 22CC33   |            Polycone  |246*deg 0.000005*deg 2*counts 86*cm 89.5*cm 259.5*cm 259.5*cm 326.056*cm 425.9*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_block_14  | solid_SIDIS_hgc_gas  |      solid_SIDIS_hgc_block_14  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 22CC33   |            Polycone  |258*deg 0.000005*deg 2*counts 86*cm 89.5*cm 259.5*cm 259.5*cm 326.056*cm 425.9*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_block_15  | solid_SIDIS_hgc_gas  |      solid_SIDIS_hgc_block_15  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 22CC33   |            Polycone  |270*deg 0.000005*deg 2*counts 86*cm 89.5*cm 259.5*cm 259.5*cm 326.056*cm 425.9*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_block_16  | solid_SIDIS_hgc_gas  |      solid_SIDIS_hgc_block_16  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 22CC33   |            Polycone  |282*deg 0.000005*deg 2*counts 86*cm 89.5*cm 259.5*cm 259.5*cm 326.056*cm 425.9*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_block_17  | solid_SIDIS_hgc_gas  |      solid_SIDIS_hgc_block_17  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 22CC33   |            Polycone  |294*deg 0.000005*deg 2*counts 86*cm 89.5*cm 259.5*cm 259.5*cm 326.056*cm 425.9*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_block_18  | solid_SIDIS_hgc_gas  |      solid_SIDIS_hgc_block_18  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 22CC33   |            Polycone  |306*deg 0.000005*deg 2*counts 86*cm 89.5*cm 259.5*cm 259.5*cm 326.056*cm 425.9*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_block_19  | solid_SIDIS_hgc_gas  |      solid_SIDIS_hgc_block_19  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 22CC33   |            Polycone  |318*deg 0.000005*deg 2*counts 86*cm 89.5*cm 259.5*cm 259.5*cm 326.056*cm 425.9*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_block_20  | solid_SIDIS_hgc_gas  |      solid_SIDIS_hgc_block_20  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 22CC33   |            Polycone  |330*deg 0.000005*deg 2*counts 86*cm 89.5*cm 259.5*cm 259.5*cm 326.056*cm 425.9*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_block_21  | solid_SIDIS_hgc_gas  |      solid_SIDIS_hgc_block_21  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 22CC33   |            Polycone  |342*deg 0.000005*deg 2*counts 86*cm 89.5*cm 259.5*cm 259.5*cm 326.056*cm 425.9*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_block_22  | solid_SIDIS_hgc_gas  |      solid_SIDIS_hgc_block_22  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 22CC33   |            Polycone  |354*deg 0.000005*deg 2*counts 86*cm 89.5*cm 259.5*cm 259.5*cm 326.056*cm 425.9*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_block_23  | solid_SIDIS_hgc_gas  |      solid_SIDIS_hgc_block_23  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 22CC33   |            Polycone  |366*deg 0.000005*deg 2*counts 86*cm 89.5*cm 259.5*cm 259.5*cm 326.056*cm 425.9*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_block_24  | solid_SIDIS_hgc_gas  |      solid_SIDIS_hgc_block_24  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 22CC33   |            Polycone  |378*deg 0.000005*deg 2*counts 86*cm 89.5*cm 259.5*cm 259.5*cm 326.056*cm 425.9*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_block_25  | solid_SIDIS_hgc_gas  |      solid_SIDIS_hgc_block_25  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 22CC33   |            Polycone  |390*deg 0.000005*deg 2*counts 86*cm 89.5*cm 259.5*cm 259.5*cm 326.056*cm 425.9*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_block_26  | solid_SIDIS_hgc_gas  |      solid_SIDIS_hgc_block_26  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 22CC33   |            Polycone  |402*deg 0.000005*deg 2*counts 86*cm 89.5*cm 259.5*cm 259.5*cm 326.056*cm 425.9*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
